MoleculeType	Identifier	MoleculeName	
Proteins	P02828	UniProt:P02828	
Proteins	M9PJN5	UniProt:M9PJN5	
Proteins	Q7KN62	UniProt:Q7KN62	
Proteins	Q9VH95	UniProt:Q9VH95	
Proteins	P22813	UniProt:P22813	
Proteins	P05303	UniProt:P05303	
Proteins	P08736	UniProt:P08736	
Proteins	P92177	UniProt:P92177 14-3-3epsilon	
Proteins	Q00168	UniProt:Q00168	
Proteins	Q9VK90	UniProt:Q9VK90	
Proteins	Q9VG58	UniProt:Q9VG58	
Proteins	Q8INI8	UniProt:Q8INI8	
Proteins	Q9BIR7	UniProt:Q9BIR7	
Proteins	Q9BIS2	UniProt:Q9BIS2	
Proteins	P11147	UniProt:P11147	
Proteins	P82147	UniProt:P82147	
Proteins	P02518	UniProt:P02518	
Proteins	P02515	UniProt:P02515	
Proteins	Q9VSX2	UniProt:Q9VSX2	
Proteins	Q8IQW5	UniProt:Q8IQW5	
Proteins	P05812	UniProt:P05812	
Proteins	P02516	UniProt:P02516	
Proteins	Q9VL41	UniProt:Q9VL41	
Proteins	P22979	UniProt:P22979	
Proteins	P02517	UniProt:P02517	
Proteins	Q9VSA9	UniProt:Q9VSA9	
Proteins	P82910	UniProt:P82910	
Proteins	O97125	UniProt:O97125	
Proteins	P02825	UniProt:P02825	
Proteins	P11146	UniProt:P11146	
Proteins	Q9VL78	UniProt:Q9VL78	
Proteins	Q9W328	UniProt:Q9W328	
Proteins	Q9VK45	UniProt:Q9VK45	
Proteins	Q9W437	UniProt:Q9W437	
Proteins	Q7JXA2	UniProt:Q7JXA2	
Proteins	A8DYF7	UniProt:A8DYF7	
Proteins	Q9VP77	UniProt:Q9VP77	
Proteins	Q9V3W1	UniProt:Q9V3W1	
Proteins	M9MSL3	UniProt:M9MSL3	
Proteins	P29845	UniProt:P29845	
Proteins	Q9VSI1	UniProt:Q9VSI1	
Proteins	P29844	UniProt:P29844	
Proteins	P29843	UniProt:P29843	
Proteins	Q9W0C7	UniProt:Q9W0C7	
Proteins	P49071	UniProt:P49071	
Proteins	P83101	UniProt:P83101	
Proteins	P18431	UniProt:P18431 sgg	
Proteins	Q9VIH1	UniProt:Q9VIH1	
Proteins	Q24492	UniProt:Q24492	
Proteins	Q9VYW3	UniProt:Q9VYW3	
Proteins	Q9I7N2	UniProt:Q9I7N2	
Proteins	Q9I7N3	UniProt:Q9I7N3	
Proteins	Q9W2E7	UniProt:Q9W2E7	
Proteins	Q9VGL0	UniProt:Q9VGL0	
Proteins	Q9VXE6	UniProt:Q9VXE6	
Proteins	A1Z8P9	UniProt:A1Z8P9	
Proteins	Q9VWS2	UniProt:Q9VWS2	
Proteins	Q8IQV9	UniProt:Q8IQV9	
Proteins	Q9V463	UniProt:Q9V463	
Proteins	Q9VFE7	UniProt:Q9VFE7	
Proteins	Q9VCG4	UniProt:Q9VCG4	
Proteins	Q9V6B9	UniProt:Q9V6B9	
Proteins	Q9VDV3	UniProt:Q9VDV3	
Proteins	Q7JXF5	UniProt:Q7JXF5	
Proteins	Q7K2X8	UniProt:Q7K2X8	
Proteins	Q9W1X4	UniProt:Q9W1X4	
Proteins	Q9W351	UniProt:Q9W351	
Proteins	Q9VCH5	UniProt:Q9VCH5	
Proteins	Q9VCW3	UniProt:Q9VCW3	
Proteins	Q9VBU8	UniProt:Q9VBU8	
Proteins	Q9VKJ3	UniProt:Q9VKJ3	
Proteins	Q9VE85	UniProt:Q9VE85	
Proteins	A1YK02	UniProt:A1YK02	
Proteins	Q9V466	UniProt:Q9V466	
Proteins	Q9V3J4	UniProt:Q9V3J4	
Proteins	A0A0B4K7J2	UniProt:A0A0B4K7J2	
Proteins	A1Z6H7	UniProt:A1Z6H7	
Proteins	Q7K0D8	UniProt:Q7K0D8	
Proteins	Q9GYU8	UniProt:Q9GYU8	
Proteins	A8JNS4	UniProt:A8JNS4	
Proteins	Q95RY2	UniProt:Q95RY2	
Proteins	Q86DS1	UniProt:Q86DS1	
Proteins	C4NYP8	UniProt:C4NYP8	
Proteins	P40417	UniProt:P40417	
