gene_name	log2(fold_change)	p_value	day	cellular_mean_log_fold_change
lwr	-1.09847	0.00005	30	-0.2719788706919
Ssb-c31a	-1.23056	0.00005	30	-0.227396888719759
Jafrac1	-1.31712	0.00005	30	-0.397866619420801
smt3	-1.37536	0.00005	30	-0.301231664949905
Xrp1	1.61398	0.00005	2	0.417342262513881
Xrp1	2.86107	0.00005	10	0.417342262513881
Socs36E	2.46844	0.00005	10	0.331901461976081
CCHa1	2.00551	0.00355	10	0.365065648171827
CG13321	1.27871	0.00005	10	0.318364133747983
Socs36E	2.57295	0.00005	20	0.331901461976081
CG13321	1.97291	0.00005	20	0.318364133747983
Xrp1	1.92933	0.00005	20	0.417342262513881
Socs36E	2.25638	0.00005	30	0.331901461976081
CCHa1	1.94591	0.00115	30	0.365065648171827
Xrp1	1.92341	0.00005	30	0.417342262513881
GstD5	1.83119	0.0046	30	0.533410609114203
CG13321	1.67151	0.00005	30	0.318364133747983
Hsc70-3	-1.2416	0.00005	30	0.537403300421233
Hsc70Cb	-1.26326	0.00005	30	0.36551099360778
7B2	2.46357	0.0001	2	-0.458540720717592
nrv3	2.3994	0.00005	2	-0.209109531163697
IA-2	2.04921	0.00005	2	-0.162475494383098
Tsp29Fb	1.4185	0.00565	2	-0.245906995727369
GstE12	1.2037	0.00005	2	-0.245976965978213
RpLP0	1.10749	0.00005	2	-0.361369186003637
RpL38	1.06384	0.00005	2	-0.208591542213893
RpL10Ab	1.01132	0.0001	2	-0.278995210083124
RpS20	1.01132	0.00005	2	-0.270669057885691
RpL32	1.00344	0.00005	2	-0.261819859158897
NPF	4.66193	0.00015	10	-0.543918041033839
IA-2	4.56315	0.00005	10	-0.162475494383098
7B2	3.85523	0.00005	10	-0.458540720717592
nrv3	3.72648	0.00005	10	-0.209109531163697
Tk	3.71333	0.00005	10	-0.863226216184714
Tsp29Fb	1.95356	0.00005	10	-0.245906995727369
Orcokinin	1.93307	0.00005	10	-0.300753937011133
CG13086	1.92328	0.0012	10	-0.307346054126308
Pal2	1.86079	0.00005	10	-0.246476828801198
CG34232	1.42034	0.004	10	-0.451633147384137
CG4781	1.29998	0.00345	10	-0.217327527767296
GstE12	1.19996	0.00005	10	-0.245976965978213
RpL10Ab	1.11343	0.00005	10	-0.278995210083124
RpS2	1.11025	0.00005	10	-0.30807834950085
RpLP0	1.08868	0.00005	10	-0.361369186003637
Oda	1.01694	0.00005	10	-0.247545871139353
IA-2	3.34143	0.00005	20	-0.162475494383098
Tk	2.71397	0.00675	20	-0.863226216184714
7B2	2.39998	0.00005	20	-0.458540720717592
nrv3	2.36085	0.00005	20	-0.209109531163697
NPF	2.0828	0.00365	20	-0.543918041033839
CG4781	1.8825	0.0052	20	-0.217327527767296
Tsp29Fb	1.75994	0.00005	20	-0.245906995727369
CG34232	1.57099	0.0147	20	-0.451633147384137
Orcokinin	1.46348	0.0028	20	-0.300753937011133
Pal2	1.27178	0.01615	20	-0.246476828801198
RpL10Ab	1.17652	0.00005	20	-0.278995210083124
RpLP0	1.16369	0.00005	20	-0.361369186003637
RpS5a	1.15224	0.00005	20	-0.350482765099702
GstE12	1.05672	0.00005	20	-0.245976965978213
Pebp1	1.03864	0.02025	20	-0.633489218940464
RpS8	1.00819	0.00025	20	-0.317429223190104
NPF	3.67444	0.00005	30	-0.543918041033839
IA-2	3.47978	0.00005	30	-0.162475494383098
Tk	2.92233	0.0002	30	-0.863226216184714
7B2	2.88788	0.00005	30	-0.458540720717592
nrv3	2.72881	0.00005	30	-0.209109531163697
smp-30	2.35575	0.00435	30	-0.516569712642398
CG13086	2.06704	0.0003	30	-0.307346054126308
Tsp29Fb	2.02219	0.00005	30	-0.245906995727369
CG4781	1.9512	0.00005	30	-0.217327527767296
Orcokinin	1.66152	0.00005	30	-0.300753937011133
GstE12	1.58327	0.00005	30	-0.245976965978213
Oda	1.45499	0.00005	30	-0.247545871139353
CG34232	1.44831	0.0002	30	-0.451633147384137
RpLP0	1.41065	0.00005	30	-0.361369186003637
RpS5a	1.34663	0.00005	30	-0.350482765099702
RpL10Ab	1.33096	0.00005	30	-0.278995210083124
RpLP1	1.1685	0.00005	30	-0.204728248782229
Pal2	1.15128	0.0078	30	-0.246476828801198
CtsB1	1.14775	0.00005	30	-0.238888490416037
Phm	1.12866	0.00005	30	-0.177602524863698
RpS8	1.07986	0.00005	30	-0.317429223190104
RpS20	1.07624	0.00005	30	-0.270669057885691
RpL38	1.07488	0.00005	30	-0.208591542213893
sta	1.01727	0.00005	30	-0.232256021066465
RpL32	1.01608	0.00005	30	-0.261819859158897
RpS29	1.01423	0.00005	30	-0.268401575182861
