gene	symbol	TV_pcor_estimate	TV_pcor_p.adj	TV_aov_cell_p.adj	TV_aov_infection_p.adj	TV_aov_infection_mean_logFC	TV_aov_cell.infection_p.adj	DMelNV_pcor_estimate	DMelNV_pcor_p.adj	DMelNV_aov_cell_p.adj	DMelNV_aov_infection_p.adj	DMelNV_aov_infection_mean_logFC	DMelNV_aov_cell.infection_p.adj
Dmel_CG42376	CG42376	-0.0545260055735507	1	0.000000000106919775663882	1	NA	1	0.0458621400953266	1	0.000000123390015602707	1	NA	1
Dmel_CG17896	CG17896	-0.0261972988611482	1	3.08840152603455e-171	1	NA	1	-0.598743409717948	0.0203581252193047	3.33369102937275e-125	0.0145865678762279	-0.25964506120874	1
Dmel_CG17778	CG17778	0.0546416786470646	1	0	1	NA	1	-0.430427557960686	1	0	1	NA	1
Dmel_CG4122	svr	0.0724390094344937	1	0	1	NA	1	-0.659663583886859	0.00120895285002803	0	0.00458410048869572	-0.236545189180176	1
Dmel_CG4262	elav	0.028222303504263	1	0.000000000000139488728554034	1	NA	1	0.230161803527186	1	0.0000293536395239406	1	NA	1
Dmel_CG13366	CG13366	-0.0349466139313612	1	0.66382677989668	1	NA	1	-0.135333641154537	1	0.998234243981728	1	NA	1
Dmel_CG17828	Vsp37A	-0.107862294423258	1	0.000017361126835939	1	NA	1	-0.158962536391613	1	0.00528961909023708	1	NA	1
Dmel_CG13364	CG13364	-0.0592200487732438	1	0.00000000000000000000000000000000000000000000000000000000000686810108565106	1	NA	1	-0.321099439322196	1	0.000000000000000000000000000000000000000000000000000000134438459407012	1	NA	1
Dmel_CG7622	RpL36	0.0209890828512476	1	1.18276894187257e-178	1	NA	1	-0.498096252768609	0.727066977007915	6.21627564587864e-162	0.000192131853867746	-0.247566221872879	1
Dmel_CG16982	Roc1a	0.000454373480536002	1	0.00000000000000000000000000384115520858861	1	NA	1	-0.202048373955603	1	0.0000000000000000000000689288377752055	1	NA	1
Dmel_CG16983	SkpA	0.0137444885375874	1	0.00000000000000000000000017868891666705	0.932747536360722	NA	1	-0.177200568473514	1	0.00000000000000000000000000971599822951873	1	NA	1
Dmel_CG7434	RpL22	-0.026999516363068	1	1.37445190466985e-142	1	NA	1	-0.623719010077399	0.00687825105532741	2.98602688513576e-132	1	NA	1
