gene_name	log2(fold_change)	p_value
CG8560	7,32586	5,00E-05
CG9682	7,09816	0,0012
Jon65Aii	6,67215	5,00E-05
mag	6,29723	0,0208
CG8909	5,92031	5,00E-05
Dh44	5,88147	0,02505
Rh2	5,83859	0,0001
Fad2	5,7532	5,00E-05
nwk	5,72528	5,00E-05
Vha100-4	5,69032	0,00095
Cyp4g1	5,67144	5,00E-05
Dsk	5,64393	0,01095
CG14982	5,62842	0,002
Mdr50	5,61376	0,00035
CG8562	5,5985	5,00E-05
CG6123	5,54409	0,00015
CG34384	5,51551	5,00E-05
Cyp4e3	5,50898	0,0001
CG42265	5,43886	0,00015
VGAT	5,43849	0,001
5-HT1A	5,40688	0,0035
CG34114	5,38611	5,00E-05
Jon65Ai	5,36491	0,0001
CG15236	5,30407	0,00035
CG1090	5,27864	5,00E-05
kek2	5,2634	0,0003
CG32085	5,25671	0,0039
Nlg2	5,25561	5,00E-05
CG16904	5,25024	5,00E-05
CG8861	5,24303	0,00025
nAChRalpha5	5,23711	5,00E-05
yellow-g	5,23526	0,0009
Ms	5,22806	5,00E-05
CG14535	5,21461	0,0027
CG8129	5,20419	0,02935
CG3078	5,2019	5,00E-05
dpr8	5,189	5,00E-05
Octbeta1R	5,18707	5,00E-05
CG42750	5,16013	0,0135
Pepck	5,137	5,00E-05
CG7910	5,13637	5,00E-05
CG12594	5,0667	0,00055
TotA	5,05192	5,00E-05
Mip	5,04649	0,0002
Ets65A	5,04489	0,0012
CG6283	5,03846	0,0168
thetaTry	5,03038	5,00E-05
CG14372	5,02605	0,02455
MtnB	5,02005	5,00E-05
dpr1	5,01949	0,0003
Shawl	5,00112	0,0123
Task6	4,99681	5,00E-05
CG4666	4,9752	5,00E-05
CG14082	4,96786	0,0064
CG34351	4,96748	0,003
CG42540	4,945	5,00E-05
CG14834	4,94325	5,00E-05
CG17341	4,93546	0,0073
CG17217,CG31760,ZnT33D	4,92133	0,00035
CG7135	4,90507	0,00035
CG12531	4,89282	5,00E-05
Jon25Biii	4,88892	5,00E-05
CG16926	4,88568	5,00E-05
CG32506	4,87271	0,0006
GluRIB	4,87192	0,0001
tld	4,86198	5,00E-05
CG12402	4,84939	0,0054
2mit	4,84205	0,0047
beat-Vc	4,84146	0,0005
Pdf	4,83904	5,00E-05
CG10477	4,8338	5,00E-05
pros	4,8296	5,00E-05
Dscam3	4,82754	5,00E-05
Ac3	4,82345	5,00E-05
CG42261	4,82213	0,0048
beat-IV	4,8103	0,0001
CG43901	4,79211	5,00E-05
CadN2	4,78724	0,00025
CG31140	4,77969	5,00E-05
CG34106,beat-IIIa	4,77906	0,0001
hig	4,77392	5,00E-05
robo3	4,76108	5,00E-05
onecut	4,72382	5,00E-05
CG10804	4,71117	0,00545
wrapper	4,69391	0,0028
CG13607	4,69046	0,01325
CG9458	4,6845	5,00E-05
CG15894	4,68437	5,00E-05
VGlut	4,68301	5,00E-05
DIP-gamma	4,6696	0,0003
haf	4,6695	5,00E-05
NPF	4,66193	0,00015
SoxN	4,65697	5,00E-05
Dscam4	4,64551	5,00E-05
CG34380	4,64243	5,00E-05
CG42795	4,64086	5,00E-05
wry	4,64022	5,00E-05
Cngl	4,63922	5,00E-05
CG14075	4,63918	0,02175
CG15765	4,63856	5,00E-05
CG15522	4,63637	0,0226
Sardh	4,63582	0,00095
rad	4,6299	5,00E-05
AkhR	4,6275	5,00E-05
CG17193	4,62492	0,00175
eloF	4,6182	5,00E-05
Fife	4,61597	5,00E-05
amon	4,59008	5,00E-05
sNPF-R	4,57695	0,0003
CG1695	4,56606	5,00E-05
DAT	4,56469	0,0259
CG4734	4,56466	5,00E-05
IA-2	4,56315	5,00E-05
