gene1,gene2,type
FBgn0000008,FBgn0050476,predicted
FBgn0000014,FBgn0000015,predicted
FBgn0000014,FBgn0000022,predicted
FBgn0000014,FBgn0000028,predicted
FBgn0000014,FBgn0000097,predicted
FBgn0000014,FBgn0000117,predicted
FBgn0000014,FBgn0000137,predicted
FBgn0000014,FBgn0000157,predicted
FBgn0000014,FBgn0000166,predicted
FBgn0000014,FBgn0000179,predicted
FBgn0000014,FBgn0000229,predicted
FBgn0000014,FBgn0000251,predicted
FBgn0000014,FBgn0000287,predicted
FBgn0000014,FBgn0000320,predicted
FBgn0000014,FBgn0000377,predicted
FBgn0000014,FBgn0000411,predicted
FBgn0000014,FBgn0000439,predicted
FBgn0000014,FBgn0000490,predicted
FBgn0000014,FBgn0000492,predicted
FBgn0000014,FBgn0000504,predicted
FBgn0000014,FBgn0000529,predicted
FBgn0000014,FBgn0000546,predicted
FBgn0000014,FBgn0000568,predicted
FBgn0000014,FBgn0000576,predicted
FBgn0000014,FBgn0000577,predicted
FBgn0000014,FBgn0000606,predicted
FBgn0000014,FBgn0000611,experiment
FBgn0000014,FBgn0000659,predicted
FBgn0000014,FBgn0000964,predicted
FBgn0000014,FBgn0001077,predicted
FBgn0000014,FBgn0001078,predicted
FBgn0000014,FBgn0001139,predicted
FBgn0000014,FBgn0001147,predicted
FBgn0000014,FBgn0001148,predicted
FBgn0000014,FBgn0001150,predicted
FBgn0000014,FBgn0001180,predicted
FBgn0000014,FBgn0001235,predicted
FBgn0000014,FBgn0001269,predicted
FBgn0000014,FBgn0001316,predicted
FBgn0000014,FBgn0001319,predicted
FBgn0000014,FBgn0001320,predicted
FBgn0000014,FBgn0001323,predicted
FBgn0000014,FBgn0001325,predicted
FBgn0000014,FBgn0002413,predicted
FBgn0000014,FBgn0002431,predicted
FBgn0000014,FBgn0002521,predicted
FBgn0000014,FBgn0002522,predicted
FBgn0000014,FBgn0002525,predicted
FBgn0000014,FBgn0002543,predicted
FBgn0000014,FBgn0002573,predicted
FBgn0000014,FBgn0002576,predicted
FBgn0000014,FBgn0002643,predicted
FBgn0000014,FBgn0002781,predicted
FBgn0000014,FBgn0002922,predicted
FBgn0000014,FBgn0002941,predicted
FBgn0000014,FBgn0002945,predicted
FBgn0000014,FBgn0002973,predicted
FBgn0000014,FBgn0002985,predicted
FBgn0000014,FBgn0003053,predicted
FBgn0000014,FBgn0003117,predicted
FBgn0000014,FBgn0003118,predicted
FBgn0000014,FBgn0003129,predicted
FBgn0000014,FBgn0003130,predicted
FBgn0000014,FBgn0003145,predicted
FBgn0000014,FBgn0003256,predicted
FBgn0000014,FBgn0003267,predicted
FBgn0000014,FBgn0003300,predicted
FBgn0000014,FBgn0003339,predicted
FBgn0000014,FBgn0003345,predicted
FBgn0000014,FBgn0003380,predicted
FBgn0000014,FBgn0003396,predicted
FBgn0000014,FBgn0003448,predicted
FBgn0000014,FBgn0003460,predicted
FBgn0000014,FBgn0003567,experiment
FBgn0000014,FBgn0003651,predicted
FBgn0000014,FBgn0003716,predicted
